run,family,source,seed,ckpt,method,group,n,exact_identities,metric,estimate,ci_low,ci_high,finite_only_mean
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,all,109,1,raw_site_ba,0.9509803921568626,0.9019607843137254,1.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,all,109,1,harmonized_site_ba,0.3482174688057041,0.2962566844919786,0.4036653297682709,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,all,109,1,site_ba_drop,0.6027629233511584,0.5268181818181817,0.6747794117647059,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,source_non_nyu,90,0,psnr,21.251100039834384,20.935584030401593,21.585141900238817,21.251100039834384
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,source_non_nyu,90,0,mse,0.00919092124741177,0.008472356428142886,0.009894282919284292,0.00919092124741177
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,source_non_nyu,90,0,mae,0.05884795461995048,0.05621267282717011,0.06142119517005876,0.05884795461995048
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,source_non_nyu,90,0,pixel_cosine_similarity,0.9880599260683659,0.9871484577575941,0.9888673158924779,0.9880599260683659
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,source_non_nyu,90,0,cross_correlation,0.9772882580905232,0.9755597571822444,0.9788535734654376,0.9772882580905232
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,source_non_nyu,90,0,subject_wasserstein_raw_harm,0.048395523914678495,0.04528496563663609,0.051611405743670666,0.048395523914678495
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,source_non_nyu,90,0,subject_kl_raw_harm,0.15995996305466,0.13555480069699083,0.18480093185984187,0.15995996305466
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,source_non_nyu,90,0,raw_site_ba,0.9479166666666666,0.8958333333333333,1.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,source_non_nyu,90,0,harmonized_site_ba,0.3074810606060606,0.25170454545454546,0.3678977272727273,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,source_non_nyu,90,0,site_ba_drop,0.640435606060606,0.5588068181818181,0.7206439393939394,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,target_nyu,19,1,psnr,,,,161.14089495282437
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,target_nyu,19,1,mse,7.635249146505712e-17,6.219042576639136e-17,8.992288482426069e-17,7.635249146505712e-17
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,target_nyu,19,1,mae,1.429186079423959e-09,1.1623459814530096e-09,1.6843577684657724e-09,1.429186079423959e-09
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,target_nyu,19,1,pixel_cosine_similarity,1.0,0.9999999999999998,1.0,1.0
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,target_nyu,19,1,cross_correlation,0.9999999999999991,0.9999999999999986,0.9999999999999994,0.9999999999999991
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,target_nyu,19,1,subject_wasserstein_raw_harm,1.429186079423959e-09,1.1623459814530096e-09,1.6843577684657724e-09,1.429186079423959e-09
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,target_nyu,19,1,subject_kl_raw_harm,3.568140361386613e-09,0.0,9.144053678560046e-09,3.568140361386613e-09
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,target_nyu,19,1,raw_site_ba,1.0,1.0,1.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,target_nyu,19,1,harmonized_site_ba,1.0,1.0,1.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,target_nyu,19,1,site_ba_drop,0.0,0.0,0.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,all,109,1,psnr,,,,40.22554374941493
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,all,109,1,mse,0.022213637575691468,0.021006820128110285,0.023386849718109212,0.022213637575691468
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,all,109,1,mae,0.08413067598935965,0.08133867089491556,0.08685236489212089,0.08413067598935965
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,all,109,1,pixel_cosine_similarity,0.9547060561609607,0.952275076701741,0.9572231409806607,0.9547060561609607
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,all,109,1,cross_correlation,0.9141091153652557,0.9098908980871347,0.9184421935665494,0.9141091153652557
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,all,109,1,subject_wasserstein_raw_harm,0.05889702154161237,0.05511231926221237,0.06257106929316658,0.05889702154161237
